Date,Open,High,Low,Close,Volume,Adj Close
2015-12-17,28.40,30.61,28.40,30.14,41170700,30.14
2015-12-16,28.00,28.60,27.65,27.83,18798200,27.83
2015-12-15,27.50,28.19,27.13,27.66,18049800,27.66
2015-12-14,26.50,27.65,25.65,27.54,22370600,27.54
2015-12-11,28.76,28.99,27.00,27.07,23421200,27.07
2015-12-10,29.61,29.95,28.52,28.75,24530400,28.75
2015-12-09,28.72,30.55,28.41,29.99,35935400,29.99
2015-12-08,29.33,30.18,29.01,29.15,23798900,29.15
2015-12-07,29.07,29.98,28.72,29.34,20055800,29.34
2015-12-04,30.02,31.15,29.29,29.49,25870800,29.49
2015-12-03,29.58,30.48,29.21,30.35,23496600,30.35
2015-12-02,29.00,30.70,28.60,29.58,22885600,29.58
2015-12-01,29.65,29.90,28.66,29.18,20136900,29.18
2015-11-30,28.80,30.30,27.00,30.05,32167000,30.05
2015-11-27,30.59,31.16,28.00,28.66,30632300,28.66
2015-11-26,32.17,32.28,30.53,30.68,29542200,30.68
2015-11-25,31.88,32.80,31.30,32.16,30192200,32.16
2015-11-24,31.01,31.87,30.96,31.70,21111400,31.70
2015-11-23,32.20,32.90,30.95,31.30,38358600,31.30
2015-11-20,32.50,34.18,31.50,33.06,66802000,33.06
2015-11-19,29.59,32.02,28.95,32.02,49792400,32.02
2015-11-18,31.10,31.40,28.85,29.11,39186500,29.11
2015-11-17,31.20,32.18,30.12,30.33,45851400,30.33
